epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.6278561878181811,0.5667485228993676,0.6379962192816635,0.6960227272727273,0.0001,16,32,0.1,0.0001,cross_entropy
2,0.5671766380619236,0.5451285807472287,0.6976606805293005,0.7159090909090909,0.0001,16,32,0.1,0.0001,cross_entropy
3,0.5463524891489621,0.5360783744942058,0.7133152173913043,0.7140151515151515,0.0001,16,32,0.1,0.0001,cross_entropy
4,0.5347619232614235,0.533978520469232,0.7223534971644613,0.7230113636363636,0.0001,16,32,0.1,0.0001,cross_entropy
5,0.5241970954241059,0.5320162840864875,0.7310373345935728,0.7215909090909091,0.0001,16,32,0.1,0.0001,cross_entropy
6,0.5170914733849311,0.5371104031801224,0.7328095463137996,0.7211174242424242,0.0001,16,32,0.1,0.0001,cross_entropy
7,0.5102101508070255,0.5300636137976791,0.7402528355387523,0.7192234848484849,0.0001,16,32,0.1,0.0001,cross_entropy
8,0.5035509188256326,0.5289178513216249,0.7417296786389413,0.7230113636363636,0.0001,16,32,0.1,0.0001,cross_entropy
9,0.4983657128644125,0.5324542170221155,0.7493501890359168,0.7272727272727273,0.0001,16,32,0.1,0.0001,cross_entropy
10,0.48873086462399457,0.5278863748817733,0.7567934782608695,0.7234848484848485,0.0001,16,32,0.1,0.0001,cross_entropy
11,0.4852435167435212,0.5320022544174483,0.757679584120983,0.724905303030303,0.0001,16,32,0.1,0.0001,cross_entropy
12,0.47764009699253596,0.5327917748328411,0.7608104914933838,0.7196969696969697,0.0001,16,32,0.1,0.0001,cross_entropy
13,0.4735247696167129,0.5359373779007883,0.7662452741020794,0.7173295454545454,0.0001,16,32,0.1,0.0001,cross_entropy
